Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Graphite,Graphite,20,0.63,Industrial (Acidic Rain),0.1,0.596,0.3,10.0,0.019683,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.23,Rural (Freshwater),0.01,1.092,2.0,5.0,0.002401,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.28,Marine (Seawater),5.0,4.042,0.3,2.0,0.436378,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.29,Marine (Seawater),5.0,0.151,2.0,2.0,0.010213,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.06,Marine (Seawater),5.0,1.236,0.3,0.3,0.099125,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.08,Industrial (Acidic Rain),0.1,2.242,1.0,5.0,0.01079,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.38,Industrial (Acidic Rain),0.1,0.232,0.3,1.0,0.008273,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.92,Marine (Seawater),5.0,2.685,0.1,10.0,0.250836,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.83,Marine (Seawater),5.0,5.511,0.3,10.0,0.439014,Unfavorable
Inconel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Industrial (Acidic Rain),0.1,0.189,2.0,1.0,0.002975,Compatible
Inconel (active),"Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.12,Marine (Seawater),5.0,0.217,2.0,1.0,0.007756,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.34,Marine (Seawater),5.0,0.642,5.0,1.0,0.037147,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.0,Industrial (Acidic Rain),0.1,0.759,2.0,2.0,0.0,Compatible
Cadmium,"Cadmium, Beryllium",3,Silver solder,Silver,18,0.56,Marine (Seawater),5.0,8.547,0.1,10.0,0.463162,Unfavorable
Nickel (active),"Nickel, Cobalt",16,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.23,Rural (Freshwater),0.01,0.374,2.0,1.0,0.000877,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.69,Rural (Freshwater),0.01,0.127,5.0,10.0,0.000715,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Graphite,Graphite,20,0.25,Industrial (Acidic Rain),0.1,2.468,1.0,10.0,0.029624,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Silver solder,Silver,18,0.19,Rural (Freshwater),0.01,9.236,2.0,10.0,0.016131,Compatible
Silver solder,Silver,18,Nickel (passive),"Nickel, Cobalt",16,0.02,Rural (Freshwater),0.01,0.378,10.0,2.0,7.1e-05,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.39,Rural (Freshwater),0.01,0.143,1.0,10.0,0.000544,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,37.863,0.3,2.0,2.978716,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.03,Marine (Seawater),5.0,0.674,1.0,1.0,0.009022,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.71,Rural (Freshwater),0.01,0.247,0.3,10.0,0.001571,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.49,Rural (Freshwater),0.01,0.17,0.3,1.0,0.000828,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Nickel (passive),"Nickel, Cobalt",16,1.48,Industrial (Acidic Rain),0.1,24.556,0.1,2.0,3.035731,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.28,Rural (Freshwater),0.01,6.191,0.3,2.0,0.016227,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.04,Industrial (Acidic Rain),0.1,0.522,2.0,5.0,0.001226,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Silver,Silver,18,0.61,Marine (Seawater),5.0,6.467,5.0,10.0,0.257691,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Tin,"Tin, Tin-Lead, Indium",8,0.15,Marine (Seawater),5.0,0.944,5.0,0.3,0.026153,Compatible
Graphite,Graphite,20,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.09,Marine (Seawater),5.0,0.113,10.0,10.0,0.000504,Compatible
Inconel (active),"Nickel, Cobalt",16,Graphite,Graphite,20,0.48,Rural (Freshwater),0.01,2.112,2.0,10.0,0.008361,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Inconel (active),"Nickel, Cobalt",16,0.34,Industrial (Acidic Rain),0.1,3.0,0.1,2.0,0.081778,Unfavorable
Lead,Lead,7,Copper,"Copper-High Nickel, Monel",15,0.27,Marine (Seawater),5.0,0.303,0.3,1.0,0.056291,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.52,Rural (Freshwater),0.01,1.452,0.1,1.0,0.007331,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.06,Rural (Freshwater),0.01,0.168,0.3,0.3,0.000101,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Tin,"Tin, Tin-Lead, Indium",8,0.08,Industrial (Acidic Rain),0.1,0.022,0.3,0.3,0.000164,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,2.45,0.3,2.0,0.200926,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.3,Marine (Seawater),5.0,0.112,0.3,1.0,0.02313,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.11,Rural (Freshwater),0.01,0.677,2.0,1.0,0.000696,Compatible
Tin,"Tin, Tin-Lead, Indium",8,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.37,Industrial (Acidic Rain),0.1,0.124,0.3,5.0,0.003231,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.19,Marine (Seawater),5.0,0.7,1.0,10.0,0.012922,Compatible
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.2,Rural (Freshwater),0.01,1.901,2.0,10.0,0.003234,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Tin,"Tin, Tin-Lead, Indium",8,0.11,Rural (Freshwater),0.01,3.094,5.0,0.3,0.003132,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.02,Marine (Seawater),5.0,0.51,1.0,1.0,0.004615,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Titanium,Titanium,17,0.21,Marine (Seawater),5.0,0.183,1.0,10.0,0.003291,Compatible
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Graphite,Graphite,20,0.21,Rural (Freshwater),0.01,0.907,5.0,10.0,0.001687,Compatible
Zinc,"Zinc, Zinc Coating",2,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.7,Industrial (Acidic Rain),0.1,0.404,0.1,2.0,0.022981,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.05,Industrial (Acidic Rain),0.1,1.587,2.0,1.0,0.005815,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Chlorimet 2,"Nickel, Cobalt",16,0.27,Marine (Seawater),5.0,2.971,0.3,2.0,0.331192,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.58,Marine (Seawater),5.0,2.935,0.3,10.0,0.134028,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.71,Industrial (Acidic Rain),0.1,0.694,0.3,10.0,0.024191,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.91,Industrial (Acidic Rain),0.1,0.041,0.1,0.1,0.003601,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.69,Marine (Seawater),5.0,0.109,5.0,10.0,0.004682,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Titanium,Titanium,17,0.1,Rural (Freshwater),0.01,1.638,2.0,10.0,0.001504,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.35,Rural (Freshwater),0.01,0.277,0.3,1.0,0.000919,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Silver,Silver,18,0.22,Rural (Freshwater),0.01,0.044,1.0,10.0,8.6e-05,Compatible
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.11,Rural (Freshwater),0.01,2.536,5.0,10.0,0.002275,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Titanium,Titanium,17,0.75,Rural (Freshwater),0.01,0.274,0.1,10.0,0.001628,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.28,Industrial (Acidic Rain),0.1,1.053,2.0,10.0,0.013682,Compatible
Tin,"Tin, Tin-Lead, Indium",8,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.3,Marine (Seawater),5.0,0.612,0.3,1.0,0.131273,Unfavorable
Zinc,"Zinc, Zinc Coating",2,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.98,Industrial (Acidic Rain),0.1,1.067,0.1,5.0,0.068205,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.26,Marine (Seawater),5.0,9.38,0.3,2.0,0.990481,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.65,Industrial (Acidic Rain),0.1,1.121,0.1,2.0,0.05656,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.4,Rural (Freshwater),0.01,0.11,0.1,2.0,0.000425,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Titanium,Titanium,17,0.18,Rural (Freshwater),0.01,0.592,1.0,10.0,0.000968,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.39,Industrial (Acidic Rain),0.1,5.559,1.0,10.0,0.098038,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.35,Rural (Freshwater),0.01,0.534,5.0,1.0,0.001782,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Steel or iron,"Steels-Carbon, Low Alloy",6,0.08,Industrial (Acidic Rain),0.1,0.05,0.1,0.3,0.000389,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.28,Marine (Seawater),5.0,10.848,0.3,2.0,1.200869,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (active),"Nickel, Cobalt",16,0.22,Rural (Freshwater),0.01,0.542,5.0,2.0,0.001099,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Steel or iron,"Steels-Carbon, Low Alloy",6,0.08,Marine (Seawater),5.0,18.818,0.1,0.3,2.667959,Unfavorable
Inconel (active),"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.27,Rural (Freshwater),0.01,3.026,2.0,5.0,0.00766,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Chlorimet 2,"Nickel, Cobalt",16,0.27,Rural (Freshwater),0.01,1.222,0.3,2.0,0.003256,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.42,Industrial (Acidic Rain),0.1,2.375,0.3,5.0,0.064995,Compatible
Nickel (passive),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.34,Marine (Seawater),5.0,0.223,2.0,10.0,0.006065,Compatible
Magnesium and magnesium alloys,Magnesium,1,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,1.27,Rural (Freshwater),0.01,3.653,0.1,2.0,0.044916,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Silver solder,Silver,18,0.21,Industrial (Acidic Rain),0.1,3.13,2.0,10.0,0.027762,Compatible
Cadmium,"Cadmium, Beryllium",3,Titanium,Titanium,17,0.76,Rural (Freshwater),0.01,0.627,0.1,10.0,0.004382,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.52,Industrial (Acidic Rain),0.1,0.205,0.1,1.0,0.009231,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,1.56,Industrial (Acidic Rain),0.1,4.332,0.1,2.0,0.566736,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.83,Industrial (Acidic Rain),0.1,0.335,0.3,10.0,0.013063,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,Silver,Silver,18,0.16,Marine (Seawater),5.0,1.062,2.0,10.0,0.012897,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Silver,Silver,18,0.57,Rural (Freshwater),0.01,5.305,5.0,10.0,0.027865,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.58,Marine (Seawater),5.0,0.237,0.3,10.0,0.013397,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.5,Marine (Seawater),5.0,5.716,0.3,5.0,0.550337,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.93,Rural (Freshwater),0.01,0.066,0.1,5.0,0.000598,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Silver solder,Silver,18,0.89,Industrial (Acidic Rain),0.1,0.565,0.1,10.0,0.026592,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.43,Rural (Freshwater),0.01,3.661,0.3,1.0,0.015765,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Silver,Silver,18,0.24,Marine (Seawater),5.0,5.838,1.0,10.0,0.123235,Compatible
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.04,Marine (Seawater),5.0,1.759,5.0,2.0,0.009791,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.63,Industrial (Acidic Rain),0.1,0.046,0.1,5.0,0.001932,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.16,Industrial (Acidic Rain),0.1,0.228,2.0,1.0,0.003014,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.32,Rural (Freshwater),0.01,0.076,0.3,1.0,0.000242,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.05,Marine (Seawater),5.0,1.121,5.0,5.0,0.005532,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.05,Marine (Seawater),5.0,4.567,1.0,1.0,0.107642,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.18,Industrial (Acidic Rain),0.1,0.993,2.0,1.0,0.013959,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Industrial (Acidic Rain),0.1,2.412,5.0,2.0,0.029591,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.22,Industrial (Acidic Rain),0.1,4.92,0.3,2.0,0.09344,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Inconel (active),"Nickel, Cobalt",16,1.25,Marine (Seawater),5.0,7.715,0.1,2.0,4.467758,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.52,Industrial (Acidic Rain),0.1,0.255,0.1,1.0,0.011855,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.32,Rural (Freshwater),0.01,1.288,5.0,10.0,0.003971,Unfavorable
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.24,Marine (Seawater),5.0,0.513,5.0,10.0,0.007937,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.32,Industrial (Acidic Rain),0.1,0.897,0.3,1.0,0.024305,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Titanium,Titanium,17,0.23,Rural (Freshwater),0.01,0.952,1.0,10.0,0.001949,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.03,Marine (Seawater),5.0,0.102,5.0,0.3,0.000608,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Titanium,Titanium,17,0.39,Rural (Freshwater),0.01,1.187,2.0,10.0,0.004248,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.16,Rural (Freshwater),0.01,0.348,1.0,10.0,0.000458,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.29,Marine (Seawater),5.0,6.403,2.0,2.0,0.461475,Compatible
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Graphite,Graphite,20,0.18,Rural (Freshwater),0.01,0.147,5.0,10.0,0.000215,Compatible
Nickel (active),"Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.18,Marine (Seawater),5.0,0.125,2.0,1.0,0.006818,Compatible
Magnesium and magnesium alloys,Magnesium,1,Silver,Silver,18,1.64,Rural (Freshwater),0.01,5.533,0.1,10.0,0.080388,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.44,Rural (Freshwater),0.01,3.505,0.3,1.0,0.01647,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Nickel (passive),"Nickel, Cobalt",16,0.38,Rural (Freshwater),0.01,1.204,0.3,2.0,0.00462,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Copper,"Copper-High Nickel, Monel",15,0.3,Industrial (Acidic Rain),0.1,1.322,0.3,1.0,0.032288,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver,Silver,18,0.77,Industrial (Acidic Rain),0.1,1.73,0.1,10.0,0.060069,Unfavorable
Silver solder,Silver,18,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.1,Marine (Seawater),5.0,0.774,10.0,2.0,0.006527,Compatible
Lead,Lead,7,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.69,Rural (Freshwater),0.01,27.469,0.3,10.0,0.179652,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Silver,Silver,18,0.39,Industrial (Acidic Rain),0.1,0.529,2.0,10.0,0.009924,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Tin,"Tin, Tin-Lead, Indium",8,0.27,Rural (Freshwater),0.01,0.856,0.1,0.3,0.002203,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.58,Rural (Freshwater),0.01,0.223,0.1,1.0,0.001322,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.91,Marine (Seawater),5.0,0.066,0.1,10.0,0.005985,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Nickel (active),"Nickel, Cobalt",16,0.18,Marine (Seawater),5.0,0.322,5.0,2.0,0.008218,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.11,Rural (Freshwater),0.01,0.466,1.0,2.0,0.000499,Compatible
Tin,"Tin, Tin-Lead, Indium",8,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.38,Rural (Freshwater),0.01,6.219,0.3,2.0,0.02439,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Copper,"Copper-High Nickel, Monel",15,0.15,Rural (Freshwater),0.01,8.544,2.0,1.0,0.011685,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.26,Rural (Freshwater),0.01,0.181,0.3,2.0,0.000432,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.24,Industrial (Acidic Rain),0.1,0.08,2.0,2.0,0.001359,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Marine (Seawater),5.0,0.274,0.1,5.0,0.009942,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.16,Rural (Freshwater),0.01,0.017,1.0,10.0,2.8e-05,Compatible
Zinc,"Zinc, Zinc Coating",2,Platinum,"Palladium, Rhodium, Gold, Platinum",19,1.25,Rural (Freshwater),0.01,2.339,0.1,10.0,0.025819,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.53,Rural (Freshwater),0.01,1.667,0.1,1.0,0.008759,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.55,Industrial (Acidic Rain),0.1,2.637,0.1,1.0,0.127646,Unfavorable
